('35867', ['italian'])
('29169', ['mexican', 'southern_us'])
('13815', ['spanish'])
('23826', ['italian'])
('24573', ['southern_us'])
('14812', ['mexican'])
('17358', ['mexican'])
('41905', [])
('18835', ['italian'])
('6952', [])
('20397', ['italian'])
('28349', ['korean'])
('5702', ['chinese'])
('4154', ['mexican'])
('14268', ['southern_us'])
('34162', ['indian'])
('21507', ['mexican'])
('43031', [])
('44077', [])
('8566', ['italian'])
('39556', [])
('43491', ['chinese'])
('18953', ['southern_us'])
('45493', ['italian'])
('14183', ['french'])
('13992', ['japanese'])
('31173', ['irish'])
('23871', ['korean'])
('21240', ['italian'])
('44870', [])
('38816', ['italian'])
('29333', ['chinese'])
('3889', ['british'])
('31489', ['thai', 'vietnamese'])
('39434', ['japanese'])
('5010', [])
('19487', ['italian'])
('19739', [])
('11150', ['mexican'])
('6148', [])
('1132', ['southern_us'])
('22751', ['italian'])
('31679', [])
('6586', ['chinese'])
('10841', ['french'])
('29766', ['italian'])
('3152', ['mexican'])
('12739', ['chinese'])
('31007', ['spanish'])
('39320', [])
('29481', ['italian'])
('46097', ['filipino'])
('36418', ['korean'])
('30475', [])
('21756', ['greek'])
('20953', ['chinese'])
('12646', ['french'])
('20859', ['chinese'])
('12415', ['italian'])
('15024', ['chinese'])
('19503', ['jamaican'])
('30562', ['southern_us'])
('46881', ['italian'])
('6942', ['italian'])
('11812', ['italian'])
('2577', ['indian'])
('29426', ['mexican'])
('29346', ['thai'])
('26976', ['spanish'])
('32493', [])
('32367', [])
('5670', ['moroccan'])
('5270', ['italian'])
('40131', [])
('23638', ['southern_us'])
('23130', ['thai'])
('10334', [])
('45416', ['indian'])
('42855', ['vietnamese'])
('34714', [])
('34569', ['chinese'])
('12366', ['russian'])
('5172', ['italian'])
('25551', ['southern_us'])
('43172', ['chinese'])
('47741', [])
('16791', ['french'])
('19098', ['southern_us'])
('21842', ['mexican'])
('42538', ['italian'])
('1668', ['indian'])
('4237', ['chinese'])
('21647', ['chinese'])
('45118', [])
('40376', [])
('7338', ['mexican'])
('29052', ['mexican'])
('26361', ['italian'])
('2489', ['mexican'])
('45708', ['italian'])
('31441', ['french'])
('19432', [])
('12360', ['italian'])
('26019', ['southern_us'])
('3015', ['italian'])
('42423', ['italian'])
('23280', ['french'])
('1974', ['moroccan'])
('11218', [])
('37887', ['french'])
('37690', ['southern_us'])
('32502', ['thai'])
('31605', ['mexican'])
('44272', ['italian'])
('44893', ['italian'])
('20323', ['indian'])
('46583', ['italian'])
('40569', ['italian'])
('12468', [])
('45490', ['italian'])
('20631', ['italian'])
('2490', ['italian'])
('39652', ['italian'])
('23439', ['italian'])
('27905', ['southern_us'])
('9765', [])
('8629', ['french'])
('3329', [])
('24429', ['indian'])
('41612', ['brazilian'])
('14117', ['chinese'])
('46323', ['italian'])
('26998', ['mexican'])
('4763', ['italian'])
('41923', ['mexican'])
('27525', ['chinese'])
('39796', ['mexican'])
('15104', ['french'])
('25626', ['mexican'])
('45167', ['greek'])
('31398', ['indian'])
('43979', ['indian'])
('40550', ['mexican'])
('13797', ['italian'])
('26985', [])
('34616', ['italian'])
('20936', ['mexican'])
('5582', [])
('2078', ['french'])
('8903', ['greek'])
('22391', ['mexican'])
('6347', ['thai'])
('8236', ['irish'])
('33874', ['italian'])
('12140', ['indian'])
('40161', ['mexican'])
('25699', ['greek'])
('45329', ['mexican'])
('10073', [])
('41140', [])
('20708', [])
('14896', [])
('29221', ['french'])
('11278', ['cajun_creole'])
('19185', ['thai'])
('48305', ['southern_us'])
('35156', ['italian'])
('705', ['french'])
('22285', ['mexican'])
('25779', [])
('11016', ['southern_us'])
('11406', [])
('17008', ['cajun_creole'])
('7617', ['mexican'])
('48159', ['mexican'])
('8077', [])
('42371', ['chinese'])
('44542', ['japanese'])
('42866', ['italian'])
('42385', [])
('29100', ['indian'])
('15970', ['southern_us'])
('20385', [])
('40406', ['french'])
('41253', ['greek'])
('19485', ['french'])
('40995', [])
('13623', [])
('8030', ['mexican'])
('17887', ['italian'])
('40489', ['japanese'])
('37505', ['mexican'])
('44069', ['italian'])
('47884', ['italian'])
('44846', ['italian'])
('34229', [])
('10026', ['italian'])
('32526', ['japanese'])
('49078', [])
('26269', [])
('1541', ['mexican'])
('38895', ['french'])
('48635', ['italian'])
('33375', ['indian'])
('23273', ['mexican'])
('47715', ['mexican'])
('18349', ['russian'])
('5293', ['mexican'])
('40681', ['mexican'])
('47364', ['japanese'])
('39577', [])
('42449', ['vietnamese'])
('5308', ['italian'])
('7329', ['thai'])
('23340', ['italian'])
('18690', [])
('22576', ['mexican'])
('7561', ['mexican'])
('32164', ['russian'])
('10328', ['indian'])
('28518', [])
('12106', ['japanese'])
('34310', [])
('40411', ['chinese'])
('2242', [])
('32076', ['moroccan'])
('11', [])
('5219', ['indian'])
('6849', [])
('16150', [])
('4727', ['italian'])
('18989', [])
('25649', ['mexican'])
('17047', ['indian'])
('7316', ['italian'])
('39439', ['mexican'])
('21085', ['moroccan'])
('42710', ['indian'])
('27063', ['southern_us'])
('43959', ['italian'])
('25807', ['chinese'])
('14129', [])
('9748', [])
('36315', ['irish'])
('8394', ['french'])
('18799', ['russian'])
('18914', [])
('44976', ['italian'])
('7427', ['chinese'])
('25186', ['italian'])
('20940', ['italian'])
('35145', [])
('39452', ['southern_us'])
('17096', ['chinese'])
('47638', [])
('20793', ['chinese', 'thai'])
('24906', ['italian'])
('30296', ['indian'])
('14831', ['mexican'])
('8408', ['filipino'])
('26679', ['italian'])
('4489', [])
('31507', ['southern_us'])
('42153', ['french'])
('48333', ['vietnamese'])
('40684', ['jamaican'])
('3743', ['korean'])
('23687', ['indian'])
('7685', [])
('16526', ['southern_us'])
('11258', [])
('36373', ['thai'])
('12272', [])
('7798', ['italian'])
